Sequence	Contig	Position	SexBias	P	Signif
9068890	CP020642.1	13850393	0	1	False
9068922	CP020630.1	7589513	0.0698925	0.66333	False
9069353	CP020643.1	14607165	0.0892473	0.619679	False
9069660	CP020621.1	29496412	-0.336559	0.00691067	False
9069750	CP020641.1	28007035	0.039785	0.942787	False
9070011	CP020637.1	12887153	0.0752688	0.712706	False
9070144	CP020642.1	337742	0	1	False
9070372	CP020626.1	32639674	0.0473118	0.905799	False
9070591	CP020630.1	30413816	-0.266667	0.00669954	False
9070684	CP020624.1	33125893	0	1	False
9070720	CP020637.1	16252441	0	1	False
9071239	CP020628.1	13063535	0.0903226	0.598546	False
9071296	CP020640.1	24837179	-0.127957	0.20957	False
9071450	CP020629.1	27725757	0.134409	0.180461	False
9071709	CP020630.1	14945922	-0.175269	0.239889	False
9071869	CP020628.1	14264197	0.0462366	0.911632	False
9071948	CP020624.1	1356703	0	1	False
9072415	CP020638.1	14660497	0	1	False
9072496	CP020630.1	30363329	-0.027957	1	False
9072918	CP020640.1	26066269	0	1	False
9072941	CP020628.1	20266356	0.0333334	0.973624	False
9073167	CP020628.1	26630433	-0.172043	0.204983	False
9073326	CP020624.1	30895153	-0.0548387	0.85102	False
9073409	CP020622.1	3318038	0.0548387	0.85102	False
9073754	CP020644.1	8209327	0.1	0.221263	False
9073938	CP020634.1	1292719	0.0118279	1	False
9073978	CP020640.1	25771665	0.410753	0.00308317	False
9074216	CP020621.1	17518810	-0.0967742	0.244047	False
9074317	CP020641.1	3568913	0	1	False
9074648	CP020627.1	14545069	0	1	False
9075032	CP020623.1	35850558	-0.0247312	1	False
9075117	CP020641.1	32384134	0.0537634	0.861184	False
9075406	CP020637.1	18413899	0	1	False
9075513	CP020626.1	26715063	0	1	False
9075517	CP020642.1	3849462	0	1	False
9075564	CP020621.1	18709659	0	1	False
9075657	CP020636.1	33194698	-0.110753	0.527127	False
9075662	CP020636.1	30038063	0	1	False
9075807	CP020627.1	23070851	0	1	False
9075867	CP020625.1	34280586	0.124731	0.363715	False
9075980	CP020634.1	28021201	0.0924731	0.540837	False
9075997	CP020641.1	32785708	0.044086	0.922566	False
9076002	CP020636.1	30357641	-0.469892	0.000272553	False
9076005	CP020627.1	4077462	0.158065	0.201356	False
9076019	CP020638.1	26440916	0.102151	0.39187	False
9076280	CP020641.1	17423961	0	1	False
9076465	CP020635.1	29581913	0	1	False
9076488	CP020624.1	5522870	-0.104301	0.464368	False
9076862	CP020643.1	8429788	-0.152688	0.322323	False
9077112	CP020631.1	13756928	-0.282796	0.0435417	False
9077145	CP020635.1	560672	0.280645	0.0508666	False
9077188	CP020639.1	15188094	-0.0419355	0.932835	False
9077198	CP020626.1	29576930	0.0548387	0.85102	False
9077204	CP020640.1	2636178	0.0806451	0.704584	False
9077230	CP020626.1	3656722	0	1	False
9077393	CP020622.1	8957963	-0.136559	0.271313	False
9078326	CP020630.1	27929306	-0.236559	0.0514172	False
9078524	CP020627.1	17568369	0	1	False
9078847	CP020624.1	29525852	-0.152688	0.322323	False
9078923	CP020636.1	3001078	-0.153763	0.305612	False
9078972	CP020633.1	30603676	-0.219355	0.114679	False
9079017	CP020627.1	1805617	0.039785	0.942787	False
9079433	CP020621.1	14741013	-0.0322581	1	False
9079796	CP020630.1	5359263	0	1	False
9079938	CP020636.1	24055215	0	1	False
9080157	CP020643.1	11706636	-0.276344	0.0539537	False
9080232	CP020634.1	16882789	0	1	False
9080471	CP020633.1	763439	0.416129	0.00120959	False
9080769	CP020639.1	9874270	0.0731183	0.704393	False
9081639	CP020627.1	30328076	0	1	False
9082134	CP020627.1	13223514	0.055914	0.839507	False
9082151	CP020623.1	220667	-0.0580645	0.810625	False
9082163	CP020626.1	23559933	-0.011828	1	False
9082435	CP020642.1	9400255	-0.0967742	0.244047	False
9082482	CP020627.1	5677849	-0.011828	1	False
9082497	CP020644.1	1546595	0	1	False
9082739	CP020624.1	7416577	-0.110753	0.527127	False
9082785	CP020635.1	20185986	0	1	False
9082786	CP020627.1	4751540	-0.055914	0.839507	False
9082997	CP020635.1	25368160	0.253763	0.0492772	False
9083145	CP020633.1	30804469	0.0333334	0.973624	False
9083248	CP020626.1	32292696	0	1	False
9083389	CP020632.1	26970438	-0.175269	0.239889	False
9083496	CP020622.1	6502916	-0.115054	0.517855	False
9083561	CP020633.1	22885399	0.0569892	0.826241	False
9083746	CP020641.1	19688112	0	1	False
9083866	CP020625.1	33747368	-0.0645161	0.47938	False
9083876	CP020621.1	8051560	0	1	False
9083922	CP020636.1	21975002	0	1	False
9083942	CP020631.1	10080177	-0.0537634	0.861184	False
9084341	CP020637.1	10968122	0.167742	0.0969606	False
9084345	CP020638.1	14201748	0	1	False
9084363	CP020643.1	12165833	0	1	False
9084481	CP020624.1	12090135	0	1	False
9084523	CP020627.1	3785976	0.0333334	0.973624	False
9084581	CP020630.1	29248151	0.207527	0.14489	False
9084813	CP020624.1	25704157	-0.0956989	0.366516	False
9085306	CP020628.1	4026465	0.0354839	0.963377	False
9085405	CP020624.1	20286400	-0.212903	0.158279	False
9085956	CP020626.1	22646628	0	1	False
9086051	CP020644.1	989119	-0.055914	0.839507	False
9086061	CP020635.1	10294414	0.136559	0.271313	False
9086245	CP020624.1	8737613	-0.105376	0.485695	False
9086511	CP020626.1	4860434	0	1	False
9087144	CP020621.1	29043607	0	1	False
9087391	CP020630.1	5196417	-0.206452	0.13588	False
9087549	CP020622.1	3654424	-0.00967744	1	False
9088271	CP020630.1	19055203	0	1	False
9088308	CP020643.1	19419460	-0.0860215	0.664906	False
9088525	CP020623.1	31587589	0.0591398	0.791747	False
9088606	CP020644.1	13354574	0.0258064	1	False
9088872	CP020634.1	23672833	-0.0215054	1	False
9089633	CP020638.1	4917760	-0.283871	0.0386628	False
9089939	CP020636.1	4896355	0.135484	0.23247	False
9090139	CP020623.1	38666983	0	1	False
9090320	CP020628.1	5903803	0.00107527	1	False
9090356	CP020631.1	7307748	0.209677	0.156167	False
9090373	CP020634.1	11075646	0	1	False
9090526	CP020637.1	13665633	0.0698925	0.66333	False
9091073	CP020640.1	21304659	0.109677	0.524624	False
9091302	CP020641.1	9124029	0.0709677	0.68308	False
9091428	CP020626.1	6500186	0.0387096	0.947758	False
9091434	CP020644.1	1075079	0	1	False
9091943	CP020624.1	29070292	-0.250538	0.0759131	False
9091950	CP020623.1	38511413	-0.0215054	1	False
9092588	CP020632.1	27748153	-0.239785	0.0801592	False
9093094	CP020632.1	185325	0	1	False
9093211	CP020626.1	22236745	0	1	False
9093290	CP020644.1	12778783	-0.0623656	0.693026	False
9093307	CP020624.1	6196600	0.00537634	1	False
9093409	CP020627.1	11173312	0	1	False
9093415	CP020623.1	5434172	0.1	0.221263	False
9093447	CP020626.1	29736917	0.0344086	0.969025	False
9093459	CP020641.1	8972906	0.0215054	1	False
9093910	CP020624.1	14186872	-0.0258065	1	False
9094039	CP020629.1	6030613	0.0333334	0.973624	False
9094165	CP020634.1	29063141	0.170968	0.185976	False
9094227	CP020639.1	767504	0.0344086	0.969025	False
9094309	CP020629.1	24547090	0.212903	0.158279	False
9094365	CP020631.1	23953066	0	1	False
9094539	CP020630.1	31733329	-0.0956989	0.366516	False
9094685	CP020635.1	19559433	0.0698925	0.66333	False
9094953	CP020629.1	12875577	0.0333334	0.973624	False
9095223	CP020629.1	25449479	0	1	False
9095437	CP020643.1	2865504	0.173118	0.219929	False
9095512	CP020625.1	21479085	0.106452	0.501112	False
9095547	CP020642.1	21024592	-0.104301	0.464368	False
9096128	CP020631.1	14555192	0	1	False
9096133	CP020626.1	18145473	0	1	False
9096233	CP020639.1	13538223	0.00752687	1	False
9096284	CP020627.1	8419970	0	1	False
9096475	CP020621.1	21857650	0.605376	7.09873e-06	False
9096537	CP020621.1	12495729	0	1	False
9096771	CP020641.1	9377141	0	1	False
9096830	CP020637.1	3463340	0	1	False
9097103	CP020624.1	26233754	0	1	False
9097229	CP020641.1	26392834	-0.0172043	1	False
9097325	CP020623.1	17487810	0.0193548	1	False
9097395	CP020635.1	7071221	0.0333334	0.973624	False
9097495	CP020635.1	9845489	0.0333334	0.973624	False
9097701	CP020632.1	410066	0	1	False
9097846	CP020628.1	20719762	0.0698925	0.66333	False
9098019	CP020627.1	7515679	0.169892	0.162166	False
9098530	CP020634.1	24198130	0	1	False
9098612	CP020635.1	29554708	-0.0967742	0.244047	False
9098702	CP020631.1	15318186	0	1	False
9098874	CP020640.1	23642235	-0.0892473	0.619679	False
9099014	CP020623.1	30544898	0	1	False
9099177	CP020641.1	32360374	0	1	False
9099319	CP020628.1	26199184	-0.172043	0.204983	False
9100144	CP020622.1	8552728	0	1	False
9100182	CP020642.1	1475815	0.0494623	0.89311	False
9100191	CP020625.1	27468661	0.206452	0.13588	False
9100258	CP020636.1	27492337	-0.0881721	0.637327	False
9100508	CP020640.1	5289667	0.277419	0.0547345	False
9101272	CP020626.1	21527423	0	1	False
9101302	CP020623.1	26836248	0	1	False
9101518	CP020629.1	29234961	0.00752687	1	False
9101533	CP020628.1	1008215	-0.0322581	1	False
9101679	CP020639.1	18364152	0.0451612	0.917204	False
9101842	CP020629.1	21019063	-0.248387	0.0879205	False
9101988	CP020630.1	21867067	-0.0924731	0.540837	False
9102014	CP020643.1	13680280	0	1	False
9102744	CP020641.1	32358356	0.105376	0.485695	False
9102932	CP020642.1	24965161	0.110753	0.527127	False
9103064	CP020625.1	8091250	-0.0311828	1	False
9103194	CP020632.1	150970	0	1	False
9103470	CP020625.1	33932090	0.123656	0.396075	False
9103502	CP020630.1	8910859	0.0333334	0.973624	False
9103861	CP020623.1	1935291	0.0451612	0.917204	False
9104031	CP020627.1	20330012	-0.0172043	1	False
9104241	CP020636.1	22963098	0.106452	0.501112	False
9104271	CP020639.1	7056005	-0.155914	0.262188	False
9104428	CP020627.1	32184868	-0.268817	0.0201481	False
9104495	CP020621.1	21071429	0.0333334	0.973624	False
9104746	CP020630.1	30281175	0.00430107	1	False
9104850	CP020626.1	28416677	0	1	False
9104888	CP020625.1	15553494	-0.275269	0.0520959	False
9105128	CP020637.1	13660864	0	1	False
9105563	CP020634.1	13585733	0.247312	0.0919754	False
9105649	CP020635.1	26289467	0	1	False
9105719	CP020625.1	27093583	0.0913978	0.572829	False
9105762	CP020638.1	17496728	0.0333334	0.973624	False
9105805	CP020631.1	15569648	0	1	False
9106060	CP020627.1	4872415	0	1	False
9106081	CP020622.1	22906793	-0.0645161	0.47938	False
9106093	CP020622.1	16066540	0.0763441	0.713849	False
9106144	CP020623.1	27892137	-0.0935484	0.499803	False
9106646	CP020638.1	24873814	0.0688172	0.631695	False
9106831	CP020637.1	17013381	-0.205376	0.124372	False
9106858	CP020643.1	14507476	0	1	False
9107121	CP020625.1	1171004	-0.235484	0.0390203	False
9107192	CP020626.1	22431954	0	1	False
9107523	CP020644.1	11831026	-0.109677	0.524624	False
9107910	CP020642.1	1973105	0.149462	0.356863	False
9107930	CP020641.1	23104429	0	1	False
9108035	CP020635.1	9448406	0	1	False
9108339	CP020634.1	8981840	0	1	False
9108378	CP020637.1	20089588	-0.143011	0.367817	False
9108457	CP020630.1	24878187	0.213978	0.155372	False
9108640	CP020621.1	8265336	-0.0860215	0.664906	False
9108980	CP020629.1	18493734	0	1	False
9109037	CP020628.1	15313702	-0.0473118	0.905799	False
9109200	CP020636.1	21985490	0.0666667	0.450577	False
9109725	CP020635.1	12068647	-0.127957	0.20957	False
9109737	CP020621.1	3842326	-0.180645	0.246481	False
9109980	CP020629.1	9349525	-0.234409	0.0260371	False
9110179	CP020626.1	31172192	0.0526882	0.870287	False
9110227	CP020635.1	26933916	0.135484	0.23247	False
9110675	CP020631.1	10725877	0.0677419	0.575671	False
9110803	CP020623.1	4594002	0.1	0.221263	False
9111322	CP020643.1	10999224	0.273118	0.0451359	False
9111366	CP020629.1	4785845	-0.206452	0.13588	False
9111388	CP020630.1	14087297	-0.108602	0.519773	False
9111441	CP020624.1	7833966	-0.116129	0.511067	False
9111473	CP020630.1	14520454	0	1	False
9111486	CP020627.1	16888834	0.0376344	0.952798	False
9111567	CP020631.1	11145709	0	1	False
9111873	CP020639.1	19434388	-0.0193549	1	False
9111995	CP020644.1	16820557	-0.0322581	1	False
9112118	CP020626.1	18207295	0.289247	0.0090543	False
9112468	CP020624.1	9656351	0	1	False
9112835	CP020638.1	26090707	-0.148387	0.363892	False
9113202	CP020631.1	16640223	-0.148387	0.363892	False
9113902	CP020634.1	23861193	-0.0645161	0.47938	False
9114429	CP020638.1	1309759	0.00860214	1	False
9114567	CP020641.1	15984484	0.0666667	0.450577	False
9114694	CP020629.1	23045848	-0.22043	0.101267	False
9114935	CP020641.1	32217249	-0.0623656	0.693026	False
9115221	CP020642.1	16988554	0.154839	0.285735	False
9115314	CP020633.1	2095780	0.416129	0.00120959	False
9115622	CP020628.1	1929611	0.0247312	1	False
9115681	CP020640.1	25144487	-0.280645	0.0508666	False
9115879	CP020635.1	6834008	0	1	False
9116152	CP020629.1	28102922	0	1	False
9116212	CP020642.1	3873230	0	1	False
9116461	CP020633.1	24723260	-0.0322581	1	False
9116535	CP020623.1	31587498	-0.0301076	1	False
9117062	CP020634.1	15540212	0.121505	0.444828	False
9117256	CP020633.1	22587397	0	1	False
9117258	CP020628.1	26644275	0	1	False
9117270	CP020627.1	934963	-0.055914	0.839507	False
9117309	CP020641.1	31875259	0	1	False
9117356	CP020627.1	13272047	0	1	False
9117606	CP020644.1	9021526	0.00645161	1	False
9117636	CP020637.1	31828263	0.0903226	0.598546	False
9117695	CP020644.1	5455895	-0.0268817	1	False
9117799	CP020639.1	7530577	0.104301	0.464368	False
9117916	CP020637.1	24090265	-0.210753	0.158739	False
9118096	CP020627.1	34030551	0	1	False
9118673	CP020626.1	7970893	0.0483871	0.899647	False
9118677	CP020629.1	30031354	0	1	False
9118925	CP020637.1	21892176	0.184946	0.214398	False
9119099	CP020641.1	3294051	0.186021	0.200916	False
9119128	CP020624.1	5740586	0.211828	0.159418	False
9119152	CP020628.1	16026856	0.00752687	1	False
9119183	CP020630.1	8698694	0	1	False
9119368	CP020643.1	20382296	0.146237	0.371811	False
9119397	CP020633.1	3804493	0	1	False
9119423	CP020629.1	24118069	0	1	False
9119748	CP020625.1	27679105	0.174194	0.231412	False
9119769	CP020642.1	3110285	-0.0634409	0.622808	False
9119974	CP020632.1	1937913	0.109677	0.524624	False
9120017	CP020635.1	2615933	-0.0537634	0.861184	False
9120047	CP020628.1	22998319	0	1	False
9120391	CP020626.1	32367925	0.112903	0.526105	False
9120552	CP020626.1	17142046	0	1	False
9120566	CP020626.1	7748388	0.0688172	0.631695	False
9120599	CP020623.1	23777575	-0.408602	0.00318939	False
9120616	CP020640.1	10727457	-0.215054	0.150723	False
9120744	CP020623.1	19144832	-0.154839	0.285735	False
9121162	CP020628.1	3776284	-0.0569893	0.826241	False
9121179	CP020632.1	13045516	0.184946	0.214398	False
9121302	CP020628.1	12448688	-0.0935484	0.499803	False
9121467	CP020626.1	28995500	0.205376	0.124372	False
9121565	CP020634.1	25284410	0.0774193	0.713453	False
9121576	CP020635.1	30039829	-0.13871	0.322942	False
9121778	CP020625.1	34317902	0	1	False
9122061	CP020634.1	11706605	0.0666667	0.450577	False
9122167	CP020640.1	24945629	-0.190323	0.120525	False
9122195	CP020629.1	8067948	0.267742	0.013006	False
9122679	CP020636.1	14783924	0	1	False
9122783	CP020638.1	26424126	0	1	False
9122789	CP020641.1	869102	0	1	False
9122895	CP020632.1	100316	0	1	False
9122927	CP020625.1	17415946	-0.233333	0.0137661	False
9123023	CP020635.1	28575653	0	1	False
9123141	CP020631.1	24828961	0	1	False
9123445	CP020631.1	10084873	-0.0870968	0.652231	False
9123619	CP020635.1	22780701	0	1	False
9123750	CP020633.1	9815698	0.0838709	0.684937	False
9123904	CP020621.1	21501088	0	1	False
9123910	CP020621.1	3007211	-0.245161	0.0959889	False
9124348	CP020629.1	21869460	-0.537634	5.35924e-05	False
9124393	CP020639.1	1725028	-0.236559	0.0514172	False
9124413	CP020626.1	29610582	0.0591398	0.791747	False
9124496	CP020642.1	17297275	-0.0795699	0.708735	False
9124591	CP020627.1	24864412	-0.0408602	0.937829	False
9124679	CP020621.1	20211093	0	1	False
9124707	CP020629.1	428552	0	1	False
9124803	CP020632.1	26771921	0.0419355	0.932835	False
9124933	CP020633.1	19989673	-0.072043	0.695957	False
9125134	CP020643.1	23774116	0.0365591	0.957978	False
9125230	CP020633.1	3425339	-0.107527	0.512148	False
9125327	CP020629.1	25465980	-0.0322581	1	False
9125378	CP020633.1	27596781	0.283871	0.0386628	False
9125652	CP020626.1	13626935	0	1	False
9125699	CP020626.1	27771247	0.0333334	0.973624	False
9125799	CP020642.1	23600703	0	1	False
9125973	CP020624.1	6522939	0.0344086	0.969025	False
9126411	CP020636.1	10543920	0	1	False
9126695	CP020626.1	29355942	0	1	False
9126909	CP020630.1	11793636	-0.0591398	0.791747	False
9127051	CP020642.1	2131809	0.208602	0.151596	False
9127150	CP020639.1	15188094	0.133333	0.110857	False
9127454	CP020629.1	16192027	-0.137634	0.300646	False
9127479	CP020622.1	23244850	-0.28172	0.0476395	False
9127549	CP020627.1	22429333	-0.0483871	0.899647	False
9127625	CP020628.1	2354243	0.0247312	1	False
9127712	CP020634.1	12366968	-0.0451613	0.917204	False
9127915	CP020632.1	22950279	0.0333334	0.973624	False
9128026	CP020636.1	5066730	0	1	False
9128137	CP020633.1	5341634	0.00430107	1	False
9128141	CP020630.1	33644570	0	1	False
9128158	CP020633.1	11465931	0	1	False
9128285	CP020636.1	32794645	0.0537634	0.861184	False
9128378	CP020622.1	22900750	-0.0752688	0.712706	False
9128443	CP020635.1	4761391	0.1	0.221263	False
9128522	CP020634.1	25939125	0	1	False
9128539	CP020623.1	36347496	-0.124731	0.363715	False
9128839	CP020624.1	16757838	0.0806451	0.704584	False
9129005	CP020633.1	30001589	0	1	False
9129358	CP020641.1	24515336	0	1	False
9129428	CP020635.1	28490599	-0.236559	0.0514172	False
9129702	CP020640.1	24539506	-0.0483871	0.899647	False
9129789	CP020641.1	31685263	0.11828	0.491734	False
9129959	CP020631.1	17132162	0	1	False
9130117	CP020640.1	2947722	0	1	False
9130330	CP020640.1	24914174	0	1	False
9130383	CP020636.1	8080699	0	1	False
9130960	CP020628.1	25001932	-0.0322581	1	False
9131011	CP020639.1	2744859	0.166667	0.0557258	False
9131083	CP020622.1	16869331	0	1	False
9131361	CP020640.1	22433130	-0.0870968	0.652231	False
9131401	CP020638.1	1985925	-0.0612903	0.737008	False
9131463	CP020633.1	417075	-0.151613	0.336255	False
9131589	CP020625.1	11403227	-0.202151	0.0731611	False
9131733	CP020627.1	21723502	0.213978	0.155372	False
9131911	CP020629.1	3310797	-0.055914	0.839507	False
9132030	CP020637.1	32105954	-0.0569893	0.826241	False
9132079	CP020635.1	26252191	0.0860215	0.664906	False
9132197	CP020621.1	9503308	-0.18172	0.24155	False
9132300	CP020628.1	11917699	0	1	False
9132318	CP020637.1	31120309	0.277419	0.0547345	False
9132422	CP020630.1	18663508	0.288172	0.0146831	False
9132524	CP020625.1	33880867	0	1	False
9132558	CP020644.1	5455804	0.407527	0.0030468	False
9132680	CP020636.1	8151523	0.267742	0.013006	False
9132734	CP020630.1	29574366	0.221505	0.0861662	False
9132801	CP020642.1	11706861	0	1	False
9132879	CP020634.1	6996181	-0.204301	0.110163	False
9133123	CP020629.1	30432499	0.0795699	0.708735	False
9133368	CP020641.1	10631709	0.0225806	1	False
9133551	CP020630.1	23351889	-0.175269	0.239889	False
9133574	CP020622.1	14980079	0.14086	0.352492	False
9133692	CP020622.1	549868	-0.210753	0.158739	False
9133750	CP020638.1	9184561	0.0505376	0.886108	False
9133829	CP020632.1	20600064	0.18172	0.24155	False
9133875	CP020643.1	22998504	0	1	False
9134174	CP020632.1	2371249	-0.119355	0.478812	False
9134218	CP020635.1	26857605	-0.183871	0.225583	False
9134267	CP020621.1	439903	0	1	False
9134309	CP020638.1	14662968	0	1	False
9134647	CP020626.1	10451054	0.0462366	0.911632	False
9134691	CP020635.1	20702148	0	1	False
9134711	CP020636.1	24346238	-0.0290322	1	False
9134820	CP020630.1	28862143	0	1	False
9134848	CP020637.1	32834731	0	1	False
9134919	CP020633.1	299341	-0.0516129	0.878542	False
9135001	CP020639.1	20606371	0	1	False
9135253	CP020627.1	28992820	0	1	False
9135379	CP020622.1	20874648	0	1	False
9135450	CP020630.1	24747715	-0.111828	0.527561	False
9135686	CP020639.1	21946340	0	1	False
9135712	CP020637.1	25318841	-0.274194	0.049153	False
9135952	CP020621.1	8163964	0	1	False
9136050	CP020630.1	29558989	0.0376344	0.952798	False
9136295	CP020644.1	7619615	-0.105376	0.485695	False
9136300	CP020643.1	16251350	0.0344086	0.969025	False
9136424	CP020628.1	1454674	0.0344086	0.969025	False
9136954	CP020621.1	23413767	-0.302151	0.0100709	False
9136972	CP020631.1	17571034	-0.0752688	0.712706	False
9137146	CP020636.1	32603720	-0.110753	0.527127	False
9137157	CP020637.1	13004796	0	1	False
9137560	CP020634.1	20137666	-0.027957	1	False
9137618	CP020626.1	21700668	0	1	False
9137620	CP020625.1	24295003	0	1	False
9137726	CP020634.1	16219962	0.124731	0.363715	False
9138155	CP020639.1	24371265	-0.201075	0.0508527	False
9138278	CP020636.1	20207064	0	1	False
9138521	CP020622.1	1871425	-0.151613	0.336255	False
9138697	CP020627.1	3316673	0.277419	0.0547345	False
9138799	CP020625.1	31966908	-0.176344	0.245707	False
9138903	CP020621.1	23033482	0.0333334	0.973624	False
9139380	CP020624.1	27873296	-0.14086	0.352492	False
9139678	CP020644.1	21747539	-0.0247312	1	False
9139712	CP020637.1	5193432	0.15914	0.162427	False
9139858	CP020627.1	3650665	0	1	False
9140381	CP020627.1	3124882	0	1	False
9140985	CP020644.1	7338266	-0.0741936	0.709715	False
9141042	CP020632.1	12318925	-0.0913978	0.572829	False
9141513	CP020632.1	14253114	0.0817204	0.699265	False
9141609	CP020629.1	10541915	0	1	False
9141727	CP020626.1	12463425	-0.208602	0.151596	False
9142013	CP020627.1	26525273	0	1	False
9142206	CP020644.1	12637640	-0.0827957	0.692742	False
9142371	CP020638.1	1050440	0.0677419	0.575671	False
9142575	CP020628.1	2810249	-0.0129032	1	False
9142803	CP020642.1	247770	0	1	False
9143149	CP020637.1	32225980	-0.0634409	0.622808	False
9143155	CP020624.1	16827193	-0.344086	0.0148731	False
9143212	CP020627.1	3316673	0.245161	0.0959889	False
9143246	CP020642.1	16889340	0	1	False
9143252	CP020642.1	25977562	-0.0752688	0.712706	False
9143409	CP020621.1	21031469	-0.072043	0.695957	False
9143411	CP020638.1	3635228	-0.0268817	1	False
9143446	CP020627.1	3797226	0	1	False
9143483	CP020633.1	11838321	0.00967741	1	False
9143774	CP020633.1	3608497	-0.108602	0.519773	False
9143982	CP020626.1	7487238	0.0516129	0.878542	False
9144225	CP020626.1	4315976	0.0387096	0.947758	False
9144276	CP020632.1	30566098	0	1	False
9144542	CP020632.1	19337822	0.0526882	0.870287	False
9144918	CP020636.1	32869666	-0.0763441	0.713849	False
9145281	CP020622.1	22930849	-0.072043	0.695957	False
9145377	CP020630.1	20147465	0.111828	0.527561	False
9145437	CP020625.1	15548638	-0.241935	0.0911653	False
9145461	CP020640.1	27079570	0	1	False
9145711	CP020625.1	32310356	-0.174194	0.231412	False
9145755	CP020638.1	27086678	-0.0215054	1	False
9145957	CP020626.1	5811933	-0.0795699	0.708735	False
9146082	CP020621.1	2466609	-0.11828	0.491734	False
9146116	CP020640.1	16401368	0	1	False
9146148	CP020634.1	20984232	-0.0935484	0.499803	False
9146528	CP020642.1	252770	-0.203226	0.0930909	False
9146529	CP020634.1	12470419	0.347312	0.012373	False
9146950	CP020621.1	23709923	0	1	False
9147158	CP020642.1	1757597	-0.0150538	1	False
9147548	CP020628.1	1067143	0.00107527	1	False
9147666	CP020643.1	23592301	0	1	False
9147693	CP020635.1	21269627	-0.0322581	1	False
9147967	CP020642.1	4719826	0.11828	0.491734	False
9148062	CP020623.1	26733635	0	1	False
9148097	CP020642.1	11053988	0.1	0.221263	False
9148207	CP020622.1	6082714	-0.0913978	0.572829	False
9148342	CP020624.1	31732417	0.0365591	0.957978	False
9148570	CP020627.1	2090815	0.0698925	0.66333	False
9148588	CP020627.1	5772638	-0.202151	0.0731611	False
9148702	CP020642.1	211445	0	1	False
9148755	CP020641.1	29972854	0.0430107	0.927762	False
9148760	CP020633.1	7561027	0.101075	0.327311	False
9149254	CP020628.1	14593574	-0.0215054	1	False
9149262	CP020627.1	30577585	0	1	False
9149513	CP020630.1	28138433	0	1	False
9149728	CP020626.1	31700115	0.0451612	0.917204	False
9149929	CP020636.1	32689770	-0.110753	0.527127	False
9149938	CP020634.1	11985013	-0.00967744	1	False
9150050	CP020638.1	28875739	-0.0408602	0.937829	False
9150108	CP020621.1	21132817	-0.0430108	0.927762	False
9150329	CP020644.1	4786836	-0.186022	0.200916	False
9150373	CP020636.1	21613453	0.137634	0.300646	False
9150392	CP020643.1	3657930	0.123656	0.396075	False
9150617	CP020629.1	19684855	0	1	False
9150690	CP020639.1	199682	0	1	False
9150741	CP020628.1	4699092	0	1	False
9150742	CP020641.1	3752263	-0.0311828	1	False
9150764	CP020640.1	11170999	0.0365591	0.957978	False
9150969	CP020624.1	20931403	0.00430107	1	False
9150970	CP020637.1	10909409	0.0752688	0.712706	False
9151010	CP020642.1	6618136	0	1	False
9151313	CP020621.1	30061196	0.121505	0.444828	False
9151841	CP020640.1	14458283	0	1	False
9151956	CP020622.1	22931755	-0.0731183	0.704393	False
9152041	CP020643.1	20172436	0	1	False
9152059	CP020627.1	10563840	0.154839	0.285735	False
9152230	CP020630.1	31794429	-0.0516129	0.878542	False
9152246	CP020637.1	12720422	-0.243011	0.09428	False
9152267	CP020634.1	9977545	0	1	False
9152331	CP020626.1	2876735	-0.203226	0.0930909	False
9152531	CP020629.1	29226179	0	1	False
9152576	CP020639.1	19635677	0	1	False
9152654	CP020637.1	6432705	0.124731	0.363715	False
9152744	CP020635.1	6207597	0	1	False
9152953	CP020642.1	18278916	0.246237	0.0946772	False
9152979	CP020628.1	21578903	-0.172043	0.204983	False
9153043	CP020636.1	32772206	-0.110753	0.527127	False
9153059	CP020624.1	4357619	0.182796	0.234602	False
9153065	CP020631.1	4624214	0	1	False
9153246	CP020628.1	20205522	0.0365591	0.957978	False
9153297	CP020634.1	29862047	0	1	False
9153318	CP020634.1	1970467	0	1	False
9153341	CP020629.1	59312	-0.0881721	0.637327	False
9153463	CP020623.1	29449769	-0.336559	0.00691067	False
9153503	CP020623.1	19251989	0	1	False
9153539	CP020622.1	23102470	-0.039785	0.942787	False
9153707	CP020638.1	3656963	-0.0215054	1	False
9154255	CP020642.1	15511625	0.154839	0.285735	False
9154614	CP020643.1	15286644	0	1	False
9154777	CP020622.1	13356422	-0.0268817	1	False
9154785	CP020629.1	30922941	0	1	False
9154860	CP020626.1	8423681	0.0838709	0.684937	False
9155141	CP020636.1	4918175	0.0333334	0.973624	False
9155220	CP020621.1	4142408	-0.00860217	1	False
9155289	CP020629.1	20135095	0	1	False
9155292	CP020635.1	29554708	-0.0505376	0.886108	False
9155766	CP020631.1	18366361	-0.0150538	1	False
9155850	CP020634.1	19542051	0	1	False
9155928	CP020630.1	29281185	0.0354839	0.963377	False
9155960	CP020622.1	6074465	-0.210753	0.158739	False
9155975	CP020627.1	489614	-0.0580645	0.810625	False
9156287	CP020637.1	32843473	0.0569892	0.826241	False
9156374	CP020642.1	14821169	0.0774193	0.713453	False
9156459	CP020630.1	12323935	-0.288172	0.0146831	False
9156754	CP020639.1	24932914	0	1	False
9156761	CP020642.1	1458673	0.11828	0.491734	False
9156783	CP020635.1	28523671	0.104301	0.464368	False
